title,views,time-stamp-upload-milliseconds,time-stamp,date-time-hr,upload-time-hr,upload-time-stamp,description,video-length,video-length-milliseconds,channel
Honduran president arrives in Beijing,4745,46867000,1686460388402, 2023-06-11 07:13:08.402000, 2023-06-10 18:12:01.402000,1686413521402, Honduran President Xiomara Castro arrived in Beijing on June 10.\n\nhttps://www.cctvplus.com/news/20230610/8328623.shtml#!language=1\n\nWelcome to subscribe us on: \nFacebook: https://www.facebook.com/N..., 1 minute 7 seconds,67000,CCTV-Video-News-Agency
How damaging is leak of classified US intel on Ukraine War? | DW News,218252,259584000,1681464531232, 2023-04-14 11:28:51.232000, 2023-04-11 11:22:27.232000,1681204947232, A tranche of classified US intelligence documents has appeared on the internet revealing details about the war in Ukraine. Information includes the number of casualties suffered on both sides..., 6 minutes 24 seconds,384000,DW-News
Kellyanne Conway: This could decide who becomes the next president,112397,86672000,1686158451129, 2023-06-07 19:20:51.129000, 2023-06-06 19:16:19.129000,1686071779129, Fox News contributor Kellyanne Conway weighs in on Sen. Tim Scott's contentious appearance on 'The View' and his potential impact in the 2024 presidential race. She also discusses the threat..., 4 minutes 32 seconds,272000,Fox-News
Writers are striking to stop AI screenplays,24701,260100000,1683546362245, 2023-05-08 13:46:02.245000, 2023-05-05 13:31:02.245000,1683286262245, CNN’s Samantha Kelly tells “Nightcap’s” Jon Sarlin why the Writer’s Guild of America wants protections against AI as it strikes for a new contract. Plus Semafor’s Ben Smith talks..., 15 minutes,900000,CNN-News
At Least 56 Killed Nearly 600 Injured as Sudan Clashes Continue,1575,172857000,1681887402316, 2023-04-19 08:56:42.316000, 2023-04-17 08:55:45.316000,1681714545316, At least 56 were killed and nearly 600 others were injured in Sudan after clashes erupted on Saturday morning between the Rapid Support Forces (RSF) and the Sudanese Armed Forces in many parts..., 57 seconds,57000,CCTV-Video-News-Agency
France in Protest | Between Us,2213,86640000,1681554710359, 2023-04-15 12:31:50.359000, 2023-04-14 12:27:50.359000,1681468070359, People have been protesting against France’s pension reform for months. They’re some of the biggest in decades. Correspondent Natacha Butler takes us through them. \r\n\r\nSubscribe to our..., 4 minutes,240000,Al-Jazeera-English
Dating Apps Aren't Working: Gen-X Advice On Finding Love | From The Kitchen Table,26003,88320000,1679898657625, 2023-03-27 08:30:57.625000, 2023-03-26 07:58:57.625000,1679810337625, On this episode Sean and Rachel sit down to discuss the trouble facing young people in the world of dating how dating apps have affected how people meet and share their advice on how to..., 32 minutes 3 seconds,1923000,Fox-News
What issues is Russia facing in Ukraine war? - BBC News,268964,259442000,1684533409590, 2023-05-19 23:56:49.590000, 2023-05-16 23:52:47.590000,1684273967590, As Ukraine prepares for a much anticipated counter-offensive against Russian forces BBC Analysis Editor Ros Atkins looks at the challenges facing Russia’s military.\n\nSince Russia's President..., 4 minutes 2 seconds,242000,BBC-News
What does Moscow want to gain militarily from striking civilian targets? | DW News,17203,259415000,1685892594878, 2023-06-04 17:29:54.878000, 2023-06-01 17:26:19.878000,1685633179878, Three people including two children were killed in an air attack on the Ukrainian capital early on Thursday city officials said. At least 10 people were injured.\nVitali Klitschko the mayor..., 3 minutes 35 seconds,215000,DW-News
What does Donald Trump's indictment mean for US democracy? | Inside Story,18401,88080000,1686639852673, 2023-06-13 09:04:12.673000, 2023-06-12 08:36:12.673000,1686551772673, It is an unprecedented moment in the history of the United States - one that is fraught with legal uncertainties and political implications.\r\nFormer President Donald Trump has been charged..., 28 minutes 26 seconds,1706000,Al-Jazeera-English
Imran Khan arrest was illegal says Pakistan’s Supreme Court - BBC News,38931,432268000,1684274252419, 2023-05-16 23:57:32.419000, 2023-05-11 23:53:04.419000,1683841984419, Pakistan's Supreme Court has ruled that former prime minister Imran Khan's dramatic arrest on corruption charges this week was illegal.\n\nThe court ordered Mr Khan's immediate release. His lawyers..., 4 minutes 28 seconds,268000,BBC-News
Ingraham: This depravity is spreading,314524,86942000,1682005356754, 2023-04-20 17:42:36.754000, 2023-04-19 17:33:34.754000,1681918414754, Fox News host Laura Ingraham examines what's behind a growing trend of teen violence on 'The Ingraham Angle.' #foxnews #fox #ingrahamangle \n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS\nWatch..., 9 minutes 2 seconds,542000,Fox-News
Myanmar tourism: Military gov't tries to lure tourists,8294,86550000,1680783608745, 2023-04-06 14:20:08.745000, 2023-04-05 14:17:38.745000,1680697058745, When democracy came to Myanmar so did the tourists - more than four million of them in 2019.\r\nThen COVID-19 hit shortly followed by a military coup.\r\nLast year fewer than 150000 foreigners..., 2 minutes 30 seconds,150000,Al-Jazeera-English
War crimes allegations: Australian soldier loses defamation case,1507,3739000,1685641415096, 2023-06-01 19:43:35.096000, 2023-06-01 18:41:16.096000,1685637676096, Accused of being a criminal a bully and a liar one of Australia’s most highly decorated soldiers has lost a landmark defamation case against three newspapers. \nFormer elite soldier Ben..., 2 minutes 19 seconds,139000,Al-Jazeera-English
Russia launches missile attack on Ukraine killing at least 11 people,87449,86748000,1686830338003, 2023-06-15 13:58:58.003000, 2023-06-14 13:53:10.003000,1686743590003, Russian missiles hit the central city of Kryvyi Rih early Tuesday killing at least 11 people. The attack by Russia struck an apartment building in the city according to Ukrainian authorities...., 5 minutes 48 seconds,348000,CNN-News
Humanitarian situation deteriorates as fighting in Sudan rages,21807,86563000,1682848186276, 2023-04-30 11:49:46.276000, 2023-04-29 11:47:03.276000,1682761623276, The situation remains dire for Sudanese trapped in the capital city which has become a battleground.\nThere are reports the city has no electricity and limited phone connectivity in Khartoum...., 2 minutes 43 seconds,163000,Al-Jazeera-English
Jesse Watters: This is an impeachable offense,270884,86924000,1686477641426, 2023-06-11 12:00:41.426000, 2023-06-10 11:51:57.426000,1686390717426, 'The Five' co-host react to an FBI source alleging President Biden was paid $5M by a Burisma executive in bribery scheme.\n#foxnews #fox #thefive   \n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS..., 8 minutes 44 seconds,524000,Fox-News
Chinese Premier Stresses Building High-quality Free Trade Port During Trip to Hainan,2222,86568000,1680264286448, 2023-03-31 14:04:46.448000, 2023-03-30 14:01:58.448000,1680177718448, Chinese Premier Li Qiang stressed adhering to reform and opening-up to build Hainan into a free trade port with high quality and standards during his visit to the southern island province on..., 2 minutes 48 seconds,168000,CCTV-Video-News-Agency
North Korea publishes photos of 'small nuclear warheads' - BBC News,184623,345774000,1680359507055, 2023-04-01 16:31:47.055000, 2023-03-28 16:28:53.055000,1680013733055, North Korea has revealed small nuclear warheads which it said can be fitted on to short-range missiles.\n\nPyongyang has long claimed it has tactical nuclear weapons capable of hitting targets..., 2 minutes 54 seconds,174000,BBC-News
British ‘dads’ bought by pregnant migrants in visa scam - BBC Newsnight,99799,346139000,1684653928881, 2023-05-21 09:25:28.881000, 2023-05-17 09:16:29.881000,1684307789881, A BBC Newsnight investigation has uncovered an immigration scam where pregnant migrant women pay British men up to £10000 to pose as the father and put their name on the child's birth certificate..., 8 minutes 59 seconds,539000,BBC-News
‘The Five’: The media smeared her as a ‘racist’,3054,763000,1684541577631, 2023-05-20 02:12:57.631000, 2023-05-20 02:00:14.631000,1684540814631, ‘The Five’ co-hosts discuss the pregnant New York City nurse who went viral after a spat over a bike was recorded.\n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS\nWatch more Fox News Video:..., 9 minutes 43 seconds,583000,Fox-News
UN chief Guterres calls for immediate ceasefire in Sudan | DW News,79139,346245000,1682379363369, 2023-04-25 01:36:03.369000, 2023-04-21 01:25:18.369000,1682033118369, Fighting in Sudan entered its sixth day on Thursday as explosions and gunfire rocked the capital Khartoum and the adjacent city of Omdurman prompting thousands of residents to flee.\n\nThe..., 10 minutes 45 seconds,645000,DW-News
Ingraham: Alvin Bragg’s top priority is ‘hunting down heroes’,81152,86684000,1684663000978, 2023-05-21 11:56:40.978000, 2023-05-20 11:51:56.978000,1684576316978, Fox News host Laura Ingraham breaks down the Daniel Penny case on ‘The Ingraham Angle.’ #foxnews #fox #ingrahamangle \n\nSubscribe to Fox News! https://bit.ly/2vBUvAS\nWatch more Fox News..., 4 minutes 44 seconds,284000,Fox-News
独家视频丨习近平举行仪式欢迎巴西总统卢拉访华,20017,86461000,1681614562153, 2023-04-16 05:09:22.153000, 2023-04-15 05:08:21.153000,1681528101153, 4月14日下午，国家主席习近平在人民大会堂东门外广场举行仪式，欢迎巴西总统卢拉对中国进行国事访问。\n\n中巴两国元首在检阅台观看中国人民解放..., 1 minute 1 second,61000,CCTV-Video-News-Agency
JOE 'BRIBIN': Feds reportedly nearing decision on Hunter charges,77986,86876000,1683323893885, 2023-05-05 23:58:13.885000, 2023-05-04 23:50:17.885000,1683237017885, ‘Outnumbered’ panel discuss latest whistleblower claim alleging President Biden’s bribery as vice president as federal prosecutors approach a decision on potential charges against Hunter...., 7 minutes 56 seconds,476000,Fox-News
Kemp: We have a good chance of winning White House in 2024,21733,7629000,1681669595773, 2023-04-16 20:26:35.773000, 2023-04-16 18:19:26.773000,1681661966773," Republican Governor Brian Kemp joins CNN's Jake Tapper on \""State of the Union\"" to discuss the future of the republican party and how it's important to not dwell on the past but to focus...", 7 minutes 9 seconds,429000,CNN-News
US intel indicates Ukrainians may have launched drone attack on Kremlin,113545,173339000,1685293079965, 2023-05-28 18:57:59.965000, 2023-05-26 18:49:00.965000,1685119740965, US officials have picked up chatter amongst Ukrainian officials blaming each other for a drone attack on the Kremlin earlier this month contributing to a US assessment that a Ukrainian group..., 8 minutes 59 seconds,539000,CNN-News
China Urges U.S. to Cease Unreasonable Suppression of Foreign Enterprise,2436,172874000,1679836960038, 2023-03-26 15:22:40.038000, 2023-03-24 14:21:26.038000,1679664086038, China urges the United States to cease its unreasonable suppression of foreign enterprises a Chinese Foreign Ministry spokeswoman said on Friday in commenting on the attendance of the CEO..., 1 minute 14 seconds,74000,CCTV-Video-News-Agency
What are Hunter and Blinken talking about?,47562,86562000,1682592887754, 2023-04-27 12:54:47.754000, 2023-04-26 12:52:05.754000,1682506325754, Former Trump adviser Stephen Miller discusses how Antony Blinken is accused of coordinating the letter that slammed Hunter Biden’s laptop as Russian disinformation on ‘Hannity.’\n\nSubscribe..., 2 minutes 42 seconds,162000,Fox-News
Neil deGrasse Tyson warns AI could be 'The final nail on the coffin of the internet',29297,86720000,1683496486709, 2023-05-07 23:54:46.709000, 2023-05-06 23:49:26.709000,1683409766709," Astrophysicist author of \""Starry Messenger\"" and esteemed scientist Neil deGrasse Tyson joined Lisa Brady on the FOX News Rundown podcast to break down irrational fears about the threat posed...", 5 minutes 20 seconds,320000,Fox-News
China's Wing Loong-2H Large UAV Conducts Weather Observation in Drill,3209,259271000,1682947275659, 2023-05-01 15:21:15.659000, 2023-04-28 15:20:04.659000,1682688004659, China's homegrown Wing Loong-2H large civil unmanned aerial vehicle (UAV) on Thursday participated in an emergency relief drill in the Yangtze River delta and conducted on-site real-time observatio..., 1 minute 11 seconds,71000,CCTV-Video-News-Agency
Will Recep Tayyip Erdogan win another term? | Inside Story,44696,88020000,1685248723739, 2023-05-28 06:38:43.739000, 2023-05-27 06:11:43.739000,1685160703739, An entire era of Turkish politics has been defined by President Recep Tayyip Erdogan.\r\nHis challenger Kemal Kilicdaroglu is his polar opposite both in personality and politics. \r\nAs we reach..., 27 minutes 21 seconds,1641000,Al-Jazeera-English
Air Force disputes claim an AI drone simulation turned against operator,46652,86714000,1685811902614, 2023-06-03 19:05:02.614000, 2023-06-02 18:59:48.614000,1685725188614, Fox Nation host Tyrus joins 'Fox \u0026 Friends First' to discuss new concerns about the threat posed by artificial intelligence. #FoxNews\n\nSubscribe to Fox News! https://bit.ly/2vBUvAS\nWatch more..., 5 minutes 14 seconds,314000,Fox-News
Retired colonel weighs in on Russia’s internal politics,137849,173031000,1679842392869, 2023-03-26 16:53:12.869000, 2023-03-24 15:49:21.869000,1679669361869, Yevgeny Prigozhin leader of the private Russian army Wagner Group complains that he is not getting enough help from the Russian military. CNN military analyst Col. Cedric Leighton (ret.)..., 3 minutes 51 seconds,231000,CNN-News
Garbage threatens indigenous community in Panama,2983,86541000,1680077890318, 2023-03-29 10:18:10.318000, 2023-03-28 10:15:49.318000,1679991349318, Panama may be one of the world’s first carbon-negative countries but its Indigenous communities are some of the most vulnerable to climate change.\r\nAnd it’s not only rising sea levels..., 2 minutes 21 seconds,141000,Al-Jazeera-English
Sen. Lindsey Graham SPARS with Stephanopoulos: 'Let me finish',97610,86805000,1686667050599, 2023-06-13 16:37:30.599000, 2023-06-12 16:30:45.599000,1686580245599, Fox News contributor Joe Concha discusses Republicans' criticism of media coverage against Trump and Alex Soros taking over his father's financial empire. #FoxNews\n\nSubscribe to Fox News! https://b..., 6 minutes 45 seconds,405000,Fox-News
Xi Holds Talks with Uzbek President,1907,86625000,1684507150792, 2023-05-19 16:39:10.792000, 2023-05-18 16:35:25.792000,1684420525792, Chinese President Xi Jinping on Thursday held talks with Uzbek President Shavkat Mirziyoyev in Xian capital of northwest China's Shaanxi Province.\nMore on: https://www.cctvplus.com/news/20230518/8..., 3 minutes 45 seconds,225000,CCTV-Video-News-Agency
Bank employee livestreamed attack that killed four in Louisville Kentucky | DW News,47700,259307000,1681492012334, 2023-04-14 19:06:52.334000, 2023-04-11 19:05:05.334000,1681232705334, Four people were killed and nine others wounded after a shooting at a bank in Louisville in the US state of Kentucky police said on Monday. Authorities identified the shooter as a 23-year-old..., 1 minute 47 seconds,107000,DW-News
Extreme summer droughts: A major threat to Europe's economy this year? | DW News,37393,173210000,1685708526342, 2023-06-02 14:22:06.342000, 2023-05-31 14:15:16.342000,1685535316342, More than a fifth of Europe is at risk of experiencing a drought this summer. Parts of Spain and southern France are already experiencing water shortages with farmers expecting the worst yield..., 6 minutes 50 seconds,410000,DW-News
Ukraine official: Gates of war have opened on Russian territory,1801269,259809000,1686011522744, 2023-06-06 02:32:02.744000, 2023-06-03 02:21:53.744000,1685751713744, A string of attacks – following an incursion on Belgorod by anti-Putin Russians who had been fighting alongside the Ukrainian military – mark a new turn in a conflict that is increasingly..., 10 minutes 9 seconds,609000,CNN-News
Kamala Harris delivers another word salad in Africa,89542,86718000,1680098734135, 2023-03-29 16:05:34.135000, 2023-03-28 16:00:16.135000,1680012016135, Raymond Arroyo discusses on ‘Seen and Unseen’ VP Kamala Harris’ visit to Ghana and another bumbling speech upon arrival on ‘The Ingraham Angle.’ #foxnews #fox #ingrahamangle \n\nSubscribe..., 5 minutes 18 seconds,318000,Fox-News
Israel PM Netanyahu marks 100 days back in office will he make it to 200 days?,64824,86847000,1681134388698, 2023-04-10 15:46:28.698000, 2023-04-09 15:39:01.698000,1681047541698, Israeli Prime Minister Benjamin Netanyahu's time back in office has been marked with various events including a spike in violence between Israelis and Palestinians.\r\nIt has also been marked..., 7 minutes 27 seconds,447000,Al-Jazeera-English
Kenya cult investigation: Aid groups register 200 people missing,35139,86599000,1682617431727, 2023-04-27 19:43:51.727000, 2023-04-26 19:40:32.727000,1682530832727, Nairobi Kenya – Since last week police in Kenya have exhumed at least 73 bodies of people believed to have starved to death from shallow graves in the country’s coastal region.\n\nAt the..., 3 minutes 19 seconds,199000,Al-Jazeera-English
China Opposes Military Contact Between Taiwan Countries Having Diplomatic Ties with China,1674,259251000,1686557416598, 2023-06-12 10:10:16.598000, 2023-06-09 10:09:25.598000,1686298165598, China stands firmly against all forms of military ties between the Taiwan region and countries that have built diplomatic relations with China said a Chinese Foreign Ministry spokesman on..., 51 seconds,51000,CCTV-Video-News-Agency
Dominion voting systems suing Fox News for $1.6bn,4656,86551000,1681908250804, 2023-04-19 14:44:10.804000, 2023-04-18 14:41:39.804000,1681821699804, A defamation lawsuit against Fox News will begin on Tuesday in the US state of Delaware.\nThe closely watched case was brought forward by Dominion Voting Systems which is seeking $1.6bn in..., 2 minutes 31 seconds,151000,Al-Jazeera-English
Chinese fighter jet cut so close to US spy plane it caused turbulence in cockpit,95382,7367000,1685499535533, 2023-05-31 04:18:55.533000, 2023-05-31 02:16:08.533000,1685492168533," Video released by the US Air Force shows a Chinese fighter jet completing what Pentagon officials call a \""unnecessarily aggressive\"" maneuver towards a US military spy plane.\n\n#CNN #News", 2 minutes 47 seconds,167000,CNN-News
Kellyanne Conway: Biden doesn't 'deserve' to win in 2024,40205,86732000,1684858779934, 2023-05-23 18:19:39.934000, 2023-05-22 18:14:07.934000,1684772047934, Fox News contributors Tammy Bruce Kellyanne Conway and Dr. Janette Nesheiwat joined 'The Next Revolution' to discuss the 2024 presidential election. #FoxNews \n\nSubscribe to Fox News! https://bit.l..., 5 minutes 32 seconds,332000,Fox-News
RNC launches 'Fact Check Biden' website ahead of 2024,64773,86737000,1682517697289, 2023-04-26 16:01:37.289000, 2023-04-25 15:56:00.289000,1682430960289, Fox News contributor Joe Concha discusses the need to hold the Biden administration accountable and criticizes the DNC for not scheduling primary debates. #FoxNews\n\nSubscribe to Fox News! https://b..., 5 minutes 37 seconds,337000,Fox-News
What's the Nagorno-Karabakh conflict about? | DW News,24737,15187000,1685021720479, 2023-05-25 15:35:20.479000, 2023-05-25 11:22:13.479000,1685006533479, Russia is hosting talks between Armenia and Azerbaijan in Moscow in a bid to defuse tensions between the two countries over the disputed territory of Nagorno-Karabakh. What is the conflict..., 13 minutes 7 seconds,787000,DW-News
Ngannou free to pursue boxing under PFL deal,962,86539000,1685100259013, 2023-05-26 13:24:19.013000, 2023-05-25 13:22:00.013000,1685013720013, Cameroonian MMA star Francis Ngannou has signed for the Professional Fighters League.\r\nNgannou had been Ultimate Fighting Championship (UFC) heavyweight champion but could not agree terms on..., 2 minutes 19 seconds,139000,Al-Jazeera-English
Silvio Berlusconi former Italian prime minister and mogul dies,28943,173385000,1686768737256, 2023-06-14 20:52:17.256000, 2023-06-12 20:42:32.256000,1686595352256, Former Italian Prime Minister Silvio Berlusconi has died at the age of 86 after battling leukemia. CNN looks back at some of Italy's most colorful controversial public figure's iconic moments...., 9 minutes 45 seconds,585000,CNN-News
Afghanistan families destined for UK stuck in Pakistan hotels - BBC Newsnight,33539,346040000,1684705576295, 2023-05-21 23:46:16.295000, 2023-05-17 23:38:56.295000,1684359536295, These are the Afghan families destined for Britain but stuck in hotels in Pakistan.\n\nMore than 1000 people from Afghanistan including 500 children are unable to leave their hotels after..., 7 minutes 20 seconds,440000,BBC-News
Jesse Watters: Did aliens just touch down in Vegas?,640701,86773000,1686639851878, 2023-06-13 09:04:11.878000, 2023-06-12 08:57:58.878000,1686553078878, Thom Reed and UFO expert Mike Bar analyze the reported possible UFO sighting in Las Vegas on ‘Jesse Watters Primetime.’\n\nSubscribe to Fox News! https://bit.ly/2vaBUvAS\nWatch more Fox News..., 6 minutes 13 seconds,373000,Fox-News
Chinese FM Meets DRC Vice PM,1052,86453000,1684984567154, 2023-05-25 05:16:07.154000, 2023-05-24 05:15:14.154000,1684898114154, Chinese State Councilor and Foreign Minister Qin Gang on Monday met in Beijing with Christophe Lutundula Vice Prime Minister and Foreign Minister of the Democratic Republic of the Congo (DRC)...., 53 seconds,53000,CCTV-Video-News-Agency
Black bear surprises man on sun lounger in North Carolina garden - BBC News,48818,259245000,1682114289309, 2023-04-21 23:58:09.309000, 2023-04-18 23:57:24.309000,1681855044309, A black bear came a little too close for comfort when it wandered up to a man relaxing on a sun lounger in North Carolina.\n\nDavid Oppenheimer jumped in shock the moment he came face-to-face..., 45 seconds,45000,BBC-News
UN Relief Chief Unsnarling Humanitarian Operations in Catastrophic Sudan Situation,368,172891000,1683200547734, 2023-05-04 13:42:27.734000, 2023-05-02 13:40:56.734000,1683027656734, The United Nations relief chief and aid partners are doing their best to reboot the humanitarian response to the catastrophic Sudan crisis a UN spokesman said on Monday.\n\nhttps://www.cctvplus.com/..., 1 minute 31 seconds,91000,CCTV-Video-News-Agency
Xi Central Asian Leaders Plant Trees to Mark Friendship,1310,172836000,1684659380272, 2023-05-21 10:56:20.272000, 2023-05-19 10:55:44.272000,1684486544272, Chinese President Xi Jinping and the heads of state of five Central Asian countries on Friday planted six pomegranate trees in Xian northwest China's Shaanxi Province to show their expectations..., 36 seconds,36000,CCTV-Video-News-Agency
Pence reacts to DOJ targeting Trump in classified documents probe,120424,173306000,1686426825286, 2023-06-10 21:53:45.286000, 2023-06-08 21:45:19.286000,1686253519286, Former Vice President and 2024 GOP presidential candidate Mike Pence reacts to the Justice Department informing former President Trump that he is a target in the classified documents probe..., 8 minutes 26 seconds,506000,CNN-News
Is opposition to Putin even possible in or outside Russia? | DW News,13772,4121000,1685959848530, 2023-06-05 12:10:48.530000, 2023-06-05 11:02:07.530000,1685955727530, Russian police have arrested more than 100 demonstrators who took to the streets to mark the birthday of jailed Kremlin ciritc Alexey Navalny.\nDemonstrators held handwritten signs calling for..., 8 minutes 41 seconds,521000,DW-News
How would a Trump indictment impact the 2024 race?,69783,86692000,1679920407699, 2023-03-27 14:33:27.699000, 2023-03-26 14:28:35.699000,1679833715699, Former White House deputy chief of staff Karl Rove gives 2024 outlook and assesses President Biden's sinking approval rating on 'One Nation with Brian Kilmeade.'\n#foxnews #onenation \n\nSubscribe..., 4 minutes 52 seconds,292000,Fox-News
France braces for new wave of protests after pensions deadlock,6406,86552000,1680868775107, 2023-04-07 13:59:35.107000, 2023-04-06 13:57:03.107000,1680782223107, In France trade unions will lead another day of protests against the government's pension reforms. \r\nUnion bosses walked out of negotiations with Prime Minister Elisabeth Borne on Wednesday...., 2 minutes 32 seconds,152000,Al-Jazeera-English
Tulsi Gabbard: It's sad the left has to 'manufacture' this crisis,95370,86937000,1684955594569, 2023-05-24 21:13:14.569000, 2023-05-23 21:04:17.569000,1684868657569, The 'Outnumbered' panel discussed their reaction to the travel advisory and growing fallout from the move. #FoxNews \n\nSubscribe to Fox News! https://bit.ly/2vBUvAS\nWatch more Fox News Video:..., 8 minutes 57 seconds,537000,Fox-News
New 2024 ad targeting Trump could signal 'vicious' primary,108593,83307000,1681832990526, 2023-04-18 17:49:50.526000, 2023-04-17 18:41:23.526000,1681749683526, New Hampshire Gov. Chris Sununu discusses the need for the Republican Party to have cohesive messaging ahead of the 2024 election in order to avoid losses seen in the 2022 midterm. #FoxNews..., 8 minutes 27 seconds,507000,Fox-News
China's C919 Jetliner to Start Regular Flight Between Shanghai Chengdu,4404,172892000,1685499538191, 2023-05-31 04:18:58.191000, 2023-05-29 04:17:26.191000,1685326646191, China's self-developed aircraft C919 will start its regular flight between Shanghai and Chengdu on Monday.\nhttps://www.cctvplus.com/news/20230528/8326556.shtml#!language=1\n\nWelcome to subscribe..., 1 minute 32 seconds,92000,CCTV-Video-News-Agency
Xi Stresses Preservation of Cultural Relics Ecological Protection of Yellow River Basin,2291,86583000,1684458213950, 2023-05-19 03:03:33.950000, 2023-05-18 03:00:30.950000,1684371630950, Chinese President Xi Jinping inspected Yuncheng City of north China's Shanxi Province on Tuesday calling for efforts to further advance the preservation of cultural relics and ecological conservat..., 3 minutes 3 seconds,183000,CCTV-Video-News-Agency
Shocking video shows soldier appearing to open gate for migrants,321341,86642000,1684333203485, 2023-05-17 16:20:03.485000, 2023-05-16 16:16:01.485000,1684246561485, Rep. Tony Gonzales R-Texas joined 'Fox \u0026 Friends' to discuss the aftermath of the ending of Title 42 and what can be done to mitigate the migrant surge. #FoxNews \n\nSubscribe to Fox News!..., 4 minutes 2 seconds,242000,Fox-News
Tapper asks Republican governor if Trump is unelectable. Hear his answer,178563,86829000,1681828459312, 2023-04-18 16:34:19.312000, 2023-04-17 16:27:10.312000,1681741630312," Republican Governor Brian Kemp joins CNN's Jake Tapper on \""State of the Union\"" to discuss the future of the republican party and how it's important to not dwell on the past but to focus...", 7 minutes 9 seconds,429000,CNN-News
South Koreans Protest Against Japan's Nuclear-contaminated Water Discharge Plan,439,172874000,1682751079729, 2023-04-29 08:51:19.729000, 2023-04-27 08:50:05.729000,1682578205729, Many South Koreans gathered on Tuesday to protest against the Japanese government plan to dump radioactive wastewater from the crippled Fukushima Daiichi nuclear power plant into the sea.\nhttps://w..., 1 minute 14 seconds,74000,CCTV-Video-News-Agency
More Chinese Nationals Evacuated from Sudan Via Ethiopia Return to China,2948,259269000,1682926332567, 2023-05-01 09:32:12.567000, 2023-04-28 09:31:03.567000,1682667063567, A total of 49 Chinese nationals evacuated from Sudan amid armed conflicts in the country arrived in China at 16:20 (Beijing Time) Thursday afternoon after taking off from Addis Ababa the capital..., 1 minute 9 seconds,69000,CCTV-Video-News-Agency
What is the fight against inflation doing right now to the global economy? | DW News,949,1596000,1681285272919, 2023-04-12 09:41:12.919000, 2023-04-12 09:14:36.919000,1681283676919, Daniel Lee heads the World Economic Studies Division in the IMF's research department which produces the World Economic Outlook. He will give us some insight on what will be going on in the..., 6 minutes 36 seconds,396000,DW-News
Cardiff riot: Police 'on different road when teens crashed' says senior officer - BBC News,60978,432900000,1685444305161, 2023-05-30 12:58:25.161000, 2023-05-25 12:43:25.161000,1685011405161, Police were on a different road when two best friends were killed in an electric bike crash that sparked a riot in Cardiff a senior officer has said.\n\nHarvey Evans 15 and Kyrees Sullivan..., 15 minutes 44 seconds,944000,BBC-News
DeSantis vows to hold Biden accountable: We're going to 'run him ragged' | Brian Kilmeade Show,30264,87360000,1686089518358, 2023-06-07 00:11:58.358000, 2023-06-05 23:55:58.358000,1686002158358, Ron DeSantis joined The Brian Kilmeade Show to discuss his 2024 Presidential campaign. DeSantis pushed back on Nikki Haley \u0026 other republicans who have called him out for his battle with Disney...., 16 minutes 7 seconds,967000,Fox-News
Can Russia and China succeed in dethroning the dollar? | Counting the Cost,244234,87900000,1680504616845, 2023-04-03 08:50:16.845000, 2023-04-02 08:25:16.845000,1680416716845, Since being shut out of much of the global financial system Russia has sought alternatives to soften the effects of Western sanctions.\r\n\r\nIt has turned to China for an economic lifeline and..., 25 minutes 46 seconds,1546000,Al-Jazeera-English
New report says antisemitic incidents in US hit record high in 2022,20499,173300000,1680049801967, 2023-03-29 02:30:01.967000, 2023-03-27 02:21:41.967000,1679876501967, A new report from the ADL shows says nearly 3700 antisemitic incidents occurred in the US last year hitting a record high since the organization began recording in 1979. \n#CNN #News, 8 minutes 20 seconds,500000,CNN-News
Why Asia is suffering from the 'worst April heatwave in history' | DW News,64132,259338000,1682599247683, 2023-04-27 14:40:47.683000, 2023-04-24 14:38:29.683000,1682339909683, Following the hottest summer on record that left large swathes of the Earth parched or on fire experts have been warning that this summer may be even worse. Asia has already been hit especially..., 2 minutes 18 seconds,138000,DW-News
Afghan mixed martial artist pursues pro career,687,86551000,1686039660576, 2023-06-06 10:21:00.576000, 2023-06-05 10:18:29.576000,1685953109576, Decades of conflict and the return of Taliban rule have seen millions of Afghan refugees spread all over the world.\n\nMany are stateless and homeless but sport can be a way to put down roots..., 2 minutes 31 seconds,151000,Al-Jazeera-English
This is the most significant development in the Biden family probe: Levine,439801,68644000,1685533032466, 2023-05-31 13:37:12.466000, 2023-05-30 18:33:08.466000,1685464388466, New York Post political reporter Jon Levine joined 'America's Newsroom' to discuss the latest on the investigation into the Biden family's business dealings. #FoxNews \n\nSubscribe to Fox News!..., 4 minutes 4 seconds,244000,Fox-News
Fighting erupts in Sudan’s capital between army paramilitary | Al Jazeera Newsfeed,440909,86466000,1681720509481, 2023-04-17 10:35:09.481000, 2023-04-16 10:34:03.481000,1681634043481, Fierce fighting has erupted in Sudan’s capital Khartoum following days of tension between the army and the Rapid Support Forces paramilitary group.\r\n\r\nSubscribe to our channel  http://bit.ly/AJSu..., 1 minute 6 seconds,66000,Al-Jazeera-English
